evidence_id,legacy_section,legacy_2v_entry_or_range,source_repository,source_commit,record_path,record_type,materiality,what_it_establishes,what_it_does_not_establish,current_validity,superseded_by,durable_control,one_time_procedure,classification,consolidation_target,future_phase,curated_2v_reference,retention_rationale,owner_disposition
PPO-02-B,Legacy standalone PPO,DIRECT_2v.10_2v.30_2v.40_2v.70;UNRESOLVED_2v.50;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/quant-trading-model-validation,0a9c203bc322f6821c04074cb4c28498ab2ab38f,ppo_research_pipeline/ppo_multi_stock_training_pipeline.py,LEGACY_MONOLITHIC_TRAINING_PIPELINE,HIGH,"Implements PPO environment, reward shaping, costs, rolling windows, artifacts, diagnostics, and historical training behavior.","Does not establish valid out-of-sample per-window evaluation, leakage-safe manifests, reproducible environment, or acceptable selection.",SUPERSEDED_IMPLEMENTATION_WITH_RETAINABLE_DESIGN_PROVENANCE,"Modular split, feature-manifest and normalization controls, later audit, and PPO v2 requirements.","Never train and evaluate on the same observations; separate data, training, evaluation, artifacts, and deployment.","Colab installs, Drive paths, direct downloads, same-window evaluation, and best-Sharpe retention.",OBSOLETE_OR_SUPERSEDED,C1_REPORT/LEGACY_PPO_FAILURE_MODES_AND_DESIGN_PROVENANCE,C4_SELECTED_CODE_MIGRATION_ADAPTATION_AND_VERIFICATION,DIRECT_FUNCTIONAL_MAPPING:2v.10;2v.30;2v.40;2v.70;UNRESOLVED_MAPPING:2v.50,"Retain for provenance and negative lessons, not executable migration.",PENDING
PPO-02-C,Legacy standalone PPO,DIRECT_2v.80;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,exploratory-results/promoted-to-validation/ppo-model-2024-09/PPO Model Selector/ppo_model_selector_full.csv,HISTORICAL_MODEL_SELECTION_RESULTS,HIGH,"Records selected windows and reported portfolio, benchmark, Sharpe, drawdown, and winner fields.","Does not establish full-fold stability, untouched-holdout validity, cost comparability, or unbiased selection.",HISTORICAL_RESULT_EVIDENCE_ONLY,v1.64 promotion standard and v1.65 final decision.,Preserve benchmark-relative evidence and prohibit best-window-only promotion.,Historical selection from local run folders.,SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_MODEL_SELECTION_EVIDENCE,C12_ELIGIBLE_CANDIDATE_FREEZE_SHARED_FINAL_HOLDOUT_AND_PROMOTION_DECISION,DIRECT_FUNCTIONAL_MAPPING:2v.80,Material evidence of historical selection behavior and benchmark inconsistency.,PENDING
PPO-02-D,Legacy standalone PPO,DIRECT_2v.70;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,docs/runs/v1.8.4_alpaca_ppo_retrain_smoke_test.md,TRAINING_EXECUTION_RECORD,HIGH,Records execution of 120 modular six-symbol smoke-training windows and historical integration artifacts.,"Does not establish production retraining quality, benchmark outperformance, or paper readiness.",VALID_HISTORICAL_INTEGRATION_EVIDENCE,v1.63 audit and v1.65 final model-quality disposition.,Separate integration success from economic qualification.,Historical Alpaca smoke-training execution.,SUMMARIZE_AND_REFERENCE,C1_REPORT/STANDALONE_PPO_RETRAINING_AND_INTEGRATION_EVIDENCE,C9_PPO_V2_TRAINING_VALIDATION_QUALIFICATION_AND_FREEZE,DIRECT_FUNCTIONAL_MAPPING:2v.70,Important integration evidence but not model promotion.,PENDING
PPO-02-E,Legacy standalone PPO,DIRECT_2v.80;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,docs/runs/v1.8.5_final_holdout_validation.md,HISTORICAL_HOLDOUT_EVALUATION_RECORD,HIGH,Records later-than-validation evaluation of 18 candidates under predeclared but permissive thresholds.,"Does not establish current shared-final-holdout compliance, strong economic qualification, or current promotion.",HISTORICAL_HOLDOUT_EVIDENCE_REQUIRING_LATER_SECTION_CONSOLIDATION,"v1.64 standard, v1.65 decision, and canonical C12 governance.",Holdout must begin after all ranking data and use predeclared rules.,Historical v1.8.5 candidate evaluation.,SUMMARIZE_AND_REFERENCE,INVENTORY_ITEM_8_FINAL_HOLDOUT_AND_CANDIDATE_SELECTION,C12_ELIGIBLE_CANDIDATE_FREEZE_SHARED_FINAL_HOLDOUT_AND_PROMOTION_DECISION,DIRECT_FUNCTIONAL_MAPPING:2v.80,Material PPO history consolidated under the dedicated holdout section.,PENDING
PPO-02-F,Legacy standalone PPO,CONTEXTUAL_2v.80_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,docs/audits/v1.63_ppo_baseline_model_quality_audit_summary.md,MODEL_QUALITY_AUDIT,CRITICAL,"Audits eighteen complete local-inventory rows, mixed benchmark evidence, negative median benchmark-relative performance, infrastructure pass, and trading-edge failure.","Does not establish immutable model-byte provenance, current PPO v2 performance, or current candidate status.",VALID_SUPERSEDING_HISTORICAL_AUDIT,None for the legacy PPO model-quality conclusion.,"Artifact completeness is not trading edge; require benchmark, stability, leakage, cost, and turnover evidence.",Historical audit of the local legacy-artifact inventory.,CARRY_FORWARD,C1_REPORT/LEGACY_PPO_FINAL_MODEL_QUALITY_FINDINGS,C8_PPO_V2_IMPLEMENTATION_READINESS,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.80;2v.90,Central evidence supporting the final legacy classification.,PENDING
PPO-02-G,Legacy standalone PPO,CONTEXTUAL_2v.80_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,docs/standards/v1.64_ppo_promotion_standard_acceptance_criteria.md,HISTORICAL_PROMOTION_STANDARD,CRITICAL,Defines evidence requirements and hard blockers for moving PPO beyond infrastructure use.,Does not establish current authorization or automatic adoption of every historical threshold.,VALID_DESIGN_INPUT_REQUIRING_CANONICAL_RECONCILIATION,Canonical C8 through C12 governance where conflicts exist.,"Require benchmark-relative, cost-aware, leakage-controlled, stable evidence.",Historical legacy-PPO promotion-decision process.,CARRY_FORWARD,C1_REPORT/PPO_V2_QUALIFICATION_AND_PROMOTION_CONTROLS,C8_PPO_V2_IMPLEMENTATION_READINESS,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.80;2v.90,Encodes durable safeguards developed from legacy model failures.,PENDING
PPO-02-H,Legacy standalone PPO,DIRECT_2v.80_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,docs/decisions/v1.65_legacy_ppo_final_audit_decision.md,FINAL_HISTORICAL_MODEL_DISPOSITION,CRITICAL,"Establishes infrastructure-fixture-only status, failed trading-edge promotion, controlled-submit rejection, and no direct legacy retraining.",Does not establish current PPO v2 rejection or current technical authorization.,VALID_FINAL_HISTORICAL_DISPOSITION,None for the legacy PPO candidate disposition.,Historical models remain fixtures until a new candidate independently qualifies.,Legacy PPO final audit closure.,CARRY_FORWARD,C1_REPORT/LEGACY_PPO_TERMINAL_DISPOSITION,C8_PPO_V2_IMPLEMENTATION_READINESS,DIRECT_FUNCTIONAL_MAPPING:2v.80;2v.90,Prevents accidental revival or promotion of the legacy PPO.,PENDING
PPO-02-I,Legacy standalone PPO,CONTEXTUAL_2v.80_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,docs/audits/v1.62_ppo_baseline_artifact_inventory.csv,LOCAL_ARTIFACT_INVENTORY_RECORD,CRITICAL,"Commits local path-existence checks, completeness fields, reported metrics, and prefixes for 120 historical PPO rows.",Does not establish that inventoried artifact bytes are Git objects or available from another immutable source.,VALID_COMMITTED_LOCAL_INVENTORY_RECORD_WITH_UNRESOLVED_BYTE_PROVENANCE,v1.63 for model-quality interpretation; no immutable artifact source resolves provenance.,Separate committed inventory evidence from immutable binary provenance.,Historical local deployment-artifact filesystem inventory.,SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_ARTIFACT_INVENTORY_AND_PROVENANCE_GAP,C8_PPO_V2_IMPLEMENTATION_READINESS,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.80;2v.90,Required for completeness findings and the unresolved provenance boundary.,PENDING
PPO-02-J,Legacy standalone PPO,CONTEXTUAL_2v.80_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,docs/audits/v1.62_ppo_baseline_artifact_inventory_summary.md,LOCAL_ARTIFACT_INVENTORY_SUMMARY,HIGH,"Summarizes historical inventory counts, symbol coverage, manifest reference, and infrastructure-only interpretation.",Does not establish immutable binary provenance or model-quality promotion.,VALID_COMMITTED_INVENTORY_SUMMARY,v1.63 for model-quality interpretation.,Inventory summaries must state their evidence source and interpretation boundary.,Historical summarization of the local inventory.,SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_ARTIFACT_INVENTORY_AND_PROVENANCE_GAP,C8_PPO_V2_IMPLEMENTATION_READINESS,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.80;2v.90,Concise scope and completeness record without claiming trading edge.,PENDING
PPO-02-K,Legacy standalone PPO,DIRECT_2v.80;CONTEXTUAL_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/ppo-trading-pipeline,072103f43d8b2488c3efca183f637ab0508a193a,config/paper_trading_six_ticker_manifest.json,HISTORICAL_ARTIFACT_SELECTION_MANIFEST,HIGH,"Commits six-symbol selected prefixes, expected artifact types, source-validation references, and dry-run defaults.",Does not establish immutable provenance or availability of referenced model and VecNormalize bytes.,VALID_COMMITTED_HISTORICAL_MANIFEST_WITH_UNRESOLVED_REFERENCED_ARTIFACT_PROVENANCE,v1.65 for candidate status and future canonical manifest contracts.,Manifest references require immutable artifact identities and checksums before migration.,Historical v1.9 selected-model and paper-dry-run configuration.,SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_ARTIFACT_INVENTORY_AND_PROVENANCE_GAP,C8_PPO_V2_IMPLEMENTATION_READINESS,DIRECT_FUNCTIONAL_MAPPING:2v.80;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.90,Preserves selected-prefix history without misrepresenting it as binary provenance.,PENDING
RF-03-A,Legacy PPO plus Random Forest,CONTEXTUAL_2v.10_2v.30_2v.40_2v.50_2v.60_2v.70_2v.80_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,exploratory-results/promoted-to-validation/ppo-rf-hybrid-2026-05/README.md,PROMOTED_HYBRID_RESEARCH_PACKAGE_ORIENTATION,HIGH,"Describes intended PPO sizing plus Random Forest gate, data alignment, artifacts, comparison, and deployment concepts.","Does not establish leakage-free evaluation, incremental gate edge, untouched holdout, or deployment readiness.",HISTORICAL_ARCHITECTURE_SUMMARY_WITH_OVERSTATED_VALIDATION_LANGUAGE,Validation repository evidence and v1.60/v1.65 terminal dispositions.,"Require independent gate contribution, causal alignment, and base-policy qualification.","Notebook setup, credentials, dataset building, and readiness claims.",SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_RF_ARCHITECTURE,C10_RANDOM_FOREST_GATE_DEVELOPMENT_AND_VALIDATION,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.10;2v.30;2v.40;2v.50;2v.60;2v.70;2v.80;2v.90,Retains intended hybrid architecture while qualifying unsupported claims.,PENDING
RF-03-B,Legacy PPO plus Random Forest,CONTEXTUAL_2v.10_2v.50_2v.60_2v.70_2v.80_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/quant-trading-model-validation,0a9c203bc322f6821c04074cb4c28498ab2ab38f,ppo_rf_research_pipeline/README.md,LEGACY_HYBRID_VALIDATION_ORIENTATION,HIGH,"Records the hybrid research package, audit context, and comparison intent.","Does not establish current authorization, a complete audit denominator, or qualified hybrid status.",VALID_HISTORICAL_STATUS_SUMMARY,v1.60 and v1.65 terminal dispositions.,Keep base-policy and gate qualification separate.,Historical validation-repository workflow language.,CARRY_FORWARD,C1_REPORT/LEGACY_PPO_RF_STATUS_AND_BOUNDARIES,C10_RANDOM_FOREST_GATE_DEVELOPMENT_AND_VALIDATION,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.10;2v.50;2v.60;2v.70;2v.80;2v.90,Useful boundary record without technical promotion effect.,PENDING
RF-03-C,Legacy PPO plus Random Forest,DIRECT_2v.10_2v.30_2v.40_2v.70_2v.80;CONTEXTUAL_2v.50_2v.60_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/quant-trading-model-validation,0a9c203bc322f6821c04074cb4c28498ab2ab38f,ppo_rf_research_pipeline/ppo_rf_hybrid_trading_system.py,MONOLITHIC_HYBRID_RESEARCH_IMPLEMENTATION,CRITICAL,"Implements data acquisition, alignment, labels, RF and PPO fitting, gate logic, confidence, evaluation, selection, and artifact export.","Does not establish causal feature timing, independently frozen thresholds, paired incremental comparison, untouched holdout, or reproducibility.",OBSOLETE_IMPLEMENTATION_WITH_RETAINABLE_HYBRID_DESIGN_EVIDENCE,Future canonical PPO and RF gate implementations.,Qualify the base PPO first and prove incremental gate value with immutable contracts.,"Monolithic notebook-style data, model, selection, and export procedure.",OBSOLETE_OR_SUPERSEDED,C1_REPORT/PPO_RF_IMPLEMENTATION_FINDINGS_AND_FAILURE_MODES,C10_RANDOM_FOREST_GATE_DEVELOPMENT_AND_VALIDATION,DIRECT_FUNCTIONAL_MAPPING:2v.10;2v.30;2v.40;2v.70;2v.80;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.50;2v.60;2v.90,"Primary implementation and failure-mode evidence, unsuitable for direct migration.",PENDING
RF-03-D,Legacy PPO plus Random Forest,DIRECT_2v.80;CONTEXTUAL_2v.50_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,exploratory-results/promoted-to-validation/ppo-rf-hybrid-2026-05/Model Selector/ppo_rf_model_selector_full.csv,HISTORICAL_SELECTED_WINDOW_RESULTS,CRITICAL,Records eight selected hybrid rows and historical metrics.,"Does not establish paired gate contribution, untouched holdout, all-window stability, or unbiased selection.",HISTORICAL_RESULT_EVIDENCE_ONLY,Future C10 validation and C12 selection governance.,Retain complete comparison denominators and predeclared selection rules.,Historical best-window selector output.,SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_RF_RESULTS_AND_SELECTION_BIAS,C12_ELIGIBLE_CANDIDATE_FREEZE_SHARED_FINAL_HOLDOUT_AND_PROMOTION_DECISION,DIRECT_FUNCTIONAL_MAPPING:2v.80;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.50;2v.90,Material selection evidence and bias warning.,PENDING
RF-03-E,Legacy PPO plus Random Forest,DIRECT_2v.80;CONTEXTUAL_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,exploratory-results/promoted-to-validation/ppo-rf-hybrid-2026-05/Model Selector/ppo_rf_model_selector_final.json,HISTORICAL_SELECTED_ARTIFACT_INDEX,HIGH,"Records selected prefixes, thresholds, metrics, and local artifact locations.","Does not establish immutable artifact bytes, checksums, or current deployment eligibility.",VALID_HISTORICAL_INDEX_WITH_UNRESOLVED_ARTIFACT_PROVENANCE,Future canonical manifests and v1.65 status.,Bind selected identities to checksummed immutable artifacts.,Historical local selected-artifact index.,SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_RF_ARTIFACT_INDEX,C10_RANDOM_FOREST_GATE_DEVELOPMENT_AND_VALIDATION,DIRECT_FUNCTIONAL_MAPPING:2v.80;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.90,Preserves selection identity without asserting artifact availability.,PENDING
RF-03-F,Legacy PPO plus Random Forest,DIRECT_2v.80;CONTEXTUAL_2v.50_2v.60_2v.90;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,exploratory-results/promoted-to-validation/ppo-rf-hybrid-2026-05/PPO RF Models QC Top/ppo_TXN_window2_model_info.json,HISTORICAL_HYBRID_MODEL_INFORMATION,HIGH,"Records a representative feature set, out-of-sample fields, gate threshold, risk values, and window identity.",Does not establish stability across symbols or complete qualification.,HISTORICAL_REPRESENTATIVE_ARTIFACT_METADATA,Future canonical gate artifacts and validation package.,"Require complete multi-window, multi-symbol metadata and immutable identity.",Historical selected-window metadata.,SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_PPO_RF_REPRESENTATIVE_ARTIFACT,C10_RANDOM_FOREST_GATE_DEVELOPMENT_AND_VALIDATION,DIRECT_FUNCTIONAL_MAPPING:2v.80;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.50;2v.60;2v.90,Representative evidence requiring population-wide validation.,PENDING
